,var,mean_lg,last_lg
0,2953.5799033795643,-712.1389215684258,-695.8891021948529
1,76.13893424526427,-697.5800883778968,-692.6349985919564
2,15.169111778834626,-706.2868856623967,-705.0567807833784
3,21248.421324216455,-725.827168039761,-692.1894519586932
4,611.5311423772072,-716.612531195287,-704.0789782659347
5,3571.151846827517,-741.304002536014,-694.5269475271424
6,5416.461537976678,-729.2610017334795,-703.8867310905679
7,87.88342356242175,-705.6772832275368,-699.9105728575412
8,164.31970097276667,-708.9538596077972,-695.2754626775329
9,57.590663125922084,-701.2000614187814,-693.5547215079799
